Dist_Name,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area
south district,1.694907072,0.18276756,1.512139512
east district,0.934153719,0.10298745,0.831166269
adilabad,1.209758847,0.22104424,0.988714607
hyderabad,0.522269753,0.52199262,0.000277133
jagitial,1.696878929,0.394204469,1.30267446
jangoan,0.433243486,0.315476097,0.117767389
mulugu,2.920152054,0.667449464,2.25270259
jogulamba gadwal,2.863639705,1.45893785,1.404701855
kamareddy,1.880129371,0.928824065,0.951305306
karimnagar,1.016544336,1.029366402,0.012822066
khammam,0.560077929,0.458663756,0.101414173
kumuram bheem asifabad,1.762360552,0.6274381,1.134922452
mahabubabad,0.514342184,0.26668014,0.247662044
mahabubnagar,0.520380467,0.103573838,0.416806629
mancherial,2.37206874,1.035405769,1.336662971
medak,1.038975884,0.130629891,0.908345993
medchal malkajgiri,0.338814937,0.108188415,0.230626522
nagarkurnool,2.158570923,0.873611522,1.284959401
nalgonda,1.110181564,1.121014225,0.010832661
nirmal,2.495939442,1.345821289,1.150118153
nizamabad,1.414979667,1.37012829,0.044851377
peddapalli,3.699961317,1.102681823,2.597279494
rajanna sircilla,0.563623248,0.564767428,0.00114418
ranga reddy,0.412349188,0.327322292,0.085026896
sangareddy,1.457531752,1.462695895,0.005164143
siddipet,0.469975702,0.091876715,0.378098987
suryapet,1.862321095,0.526090291,1.336230804
vikarabad,0.271652781,0.187043402,0.084609379
wanaparthy,5.911067913,0.984745694,4.926322219
warangal rural,0.420854233,0.3791028,0.041751433
warangal urban,0.487587909,0.354480511,0.133107398
yadadri bhuvanagiri,0.630428715,0.084363209,0.546065506
bhadradri kothagudem,1.367448139,0.625093908,0.742354231
jayashankar,5.683848444,0.464301349,5.219547095
narayanpet,1.584991037,0.815999907,0.76899113
north tripura,1.542869002,0.0,1.542869002
dhalai,1.167627679,0.830802532,0.336825147
sipahijala,0.601362713,0.003254841,0.598107872
gomati,2.520489489,0.002801781,2.517687708
khowai,0.889218209,0.0,0.889218209
west tripura,0.612502471,0.0,0.612502471
south tripura,0.931395601,0.0,0.931395601
unokoti,8.323627750875,0.001642557,7.660317975750001
amroha,3.77465624,0.02670143,3.74795481
hapur,1.533241589,0.006144137,1.527097452
bareilly,4.170101962,0.0,4.170101962
pilibhit,3.104616978,0.672146699,2.432470279
bulandshahr,4.647089954,0.043817515,4.603272439
gautam buddha nagar,4.671283575,0.002840861,4.668442714
kheri,7.086100462,0.145950617,6.940149845
budaun,3.899941243,0.043402472,3.856538771
bahraich,4.089125081,0.40923834,3.679886741
shahjahanpur,4.764711247,0.007833177,4.75687807
aligarh,1.93292949,0.006094499,1.926834991
kasganj,8.323627750875,0.061598326,7.660317975750001
mathura,4.807455013,0.0,4.807455013
shrawasti,7.721578816,0.028878669,7.660317975750001
sitapur,3.400453125,0.025174919,3.375278206
hathras,1.329597887,0.0,1.329597887
etah,1.185341675,0.000451786,1.184889889
hardoi,4.375049349,0.028511914,4.346537435
farrukhabad,6.314129092,0.099039455,6.215089637
firozabad,4.216316792,0.0,4.216316792
siddharthnagar,8.323627750875,0.022007889,7.660317975750001
mainpuri,3.043030701,0.0,3.043030701
mahrajganj,3.336576576,0.082956237,3.253620339
agra,4.133356464,0.10192976,4.031426704
gonda,2.9367264,0.067902889,2.868823511
bara banki,3.016814521,0.151297728,2.865516793
