District,Latitude,Longitude,elevation
Vizianagaram,18.124612,83.406912,66
Warangal,18.030289,79.57543,255
Wardha,20.735221,78.604456,281
Washim,20.108935,77.142117,550
Wayanad,11.606117,76.088347,812
West Sikkim,27.290085,88.244703,1442
West Garo Hills,25.505214,90.280827,957
West Godavari,16.719836,81.100761,18
West Kameng,27.264281,92.425854,2468
West Khasi Hills,25.518083,91.269445,1361
West Nimar,21.825248,75.61635,255
West Siang,28.168599,94.80047,266
West Tripura,23.827795,91.274175,17
Wokha,26.0917,94.258877,1383
Yamunanagar,30.30369,77.307789,304
Yanam,16.734771,82.213971,7
Yavatmal,20.3876,78.131472,452
Zunheboto,26.009562,94.521241,1639
Rangareddi,17.3891,77.8367,602
Vishakhapatnam,17.724,82.7347,113
Golapara,26.0876,90.5636,49
Bastar,19.1071,81.9535,544
Badgam,33.9349,74.64,2098
Doda,33.0469,75.6208,1472
Kargil,34.262,76.2711,4815
Kupwara,34.4319,74.124,1984
Pulwama,33.9819,75.0144,2030
Rajauri,33.3717,74.3153,950
West Singbhum,22.3651,85.4376,358
Bangalore Rural,13.2847,77.6078,920
Chikmangalur,13.4045,75.6208,1051
Davanagere,14.3318,75.9928,604
Imphal East,24.7807,93.9674,779
Imphal West,24.7828,93.8859,780
Aizwal,23.8789,92.8976,627
Lawngtlai,22.3114,92.6984,332
Sonapur,20.9338,83.8049,122
North Sikkim,27.8236,88.5565,3679
South Sikkim,27.2858,88.3946,1360
Ariyalur,11.2399,79.2902,80
Bulandshahar,28.4215,78.0195,202
Siddharth Nagar,27.2716,82.821,89
Burdwan,23.4595,87.6186,67
Cooch Behar,26.3234,89.3227,48
South Dinajpur,25.3715,88.5565,29
Darjeeling,26.9287,88.3628,1037
Howrah,22.5604,88.051,7
Hooghly,22.8963,88.2461,9
Malda,25.1786,88.2461,35
Midnapore,22.408,87.3811,27
Purulia,23.3322,86.3616,247
North Dinajpur,25.981,88.051,47
New Delhi,28.6139,77.209,219
Andaman,10.7449,92.5,51
Nicobar,7.1205,93.7842,157
Mahe,11.7003,75.5425,14
Sikkim,27.3516,88.3239,1299
Lakshadweep,10.5667,72.6417,7
Goa,15.2993,74.124,97
